Id,Age,Educ_background,Incumbent,Mar_relationship,Mortgage,Fin_loan,Default,Curt_balance,Prev_result,Num_prev_cont,Elapsed_days,Num_cont,Day,Month,Cont_means,Cont_time,Y
19,48,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,405,Unknown,0,-1,3,30,May,Unknown,119,0
20,49,ES_graduate,Pensioner,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,-684,Unknown,0,-1,2,20,August,Mobile,319,0
21,28,Associate_Bachelor_and_beyond,Supervision,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,75,Unknown,0,-1,1,20,July,Mobile,1294,1
22,60,ES_graduate,Pensioner,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,1935,Unknown,0,-1,1,22,November,Mobile,192,0
23,46,Associate_Bachelor_and_beyond,Sole_proprietor,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,365,Unknown,0,-1,3,28,May,Unknown,761,0
24,31,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,628,Unknown,0,-1,16,20,July,Mobile,98,0
25,25,Associate_Bachelor_and_beyond,Supervision,Unmarried,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,400,Established,4,88,1,11,August,Mobile,583,1
26,53,Associate_Bachelor_and_beyond,Idle,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,144,Unknown,0,-1,2,4,August,Mobile,116,0
27,32,JHS_HS_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,820,Rejected,4,165,2,16,April,Mobile,81,0
28,46,JHS_HS_graduate,Services,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,99,Unknown,0,-1,3,12,May,Unknown,72,0
29,40,JHS_HS_graduate,Manual_laborer,Married,Mortgaged,Debtor,Non-Default,223,Unknown,0,-1,4,4,November,Mobile,273,0
30,20,JHS_HS_graduate,Supervision,Unmarried,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,1150,Unknown,0,-1,1,19,October,Mobile,143,0
31,50,JHS_HS_graduate,Idle,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,852,Unknown,0,-1,2,4,August,Mobile,173,0
32,43,JHS_HS_graduate,Engineer,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,11,Unknown,0,-1,5,5,August,Mobile,505,0
33,43,JHS_HS_graduate,Supervision,Divorced,Mortgaged,Debtor,Non-Default,742,Unknown,0,-1,2,19,November,Mobile,311,0
34,49,ES_graduate,Pensioner,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,1804,Unknown,0,-1,1,7,June,Mobile,473,1
35,44,Associate_Bachelor_and_beyond,Engineer,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,97,Unknown,0,-1,15,22,August,Mobile,176,0
36,25,JHS_HS_graduate,Student,Unmarried,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,41,Unknown,0,-1,7,15,May,Mobile,134,0
37,52,ES_graduate,Manual_laborer,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,538,Unknown,0,-1,1,12,May,Unknown,67,0
38,50,Associate_Bachelor_and_beyond,Supervision,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,53,Unknown,0,-1,8,25,August,Mobile,203,0
39,50,Associate_Bachelor_and_beyond,Pensioner,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,207,Unknown,0,-1,4,6,August,Mobile,72,0
40,24,JHS_HS_graduate,Idle,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,-82,Unknown,0,-1,1,6,May,Mobile,113,0
41,45,Associate_Bachelor_and_beyond,Supervision,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,803,Unknown,0,-1,3,2,June,Unknown,26,0
42,42,JHS_HS_graduate,Idle,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,10746,Other,6,181,4,6,February,Mobile,60,0
43,45,JHS_HS_graduate,Manual_laborer,Married,Mortgaged,Debtor,Non-Default,255,Unknown,0,-1,5,8,July,Mobile,66,0
44,52,Unknown,Pensioner,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,464,Unknown,0,-1,1,2,December,Mobile,710,1
45,34,Associate_Bachelor_and_beyond,Supervision,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,902,Unknown,3,176,7,23,November,Mobile,111,0
46,34,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,3,Unknown,10,26,1,7,May,Mobile,598,0
47,27,JHS_HS_graduate,Supervision,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,769,Unknown,0,-1,7,21,April,Mobile,356,0
48,26,JHS_HS_graduate,Business_owner,Unmarried,Mortgaged,Debtor,Non-Default,227,Unknown,0,-1,5,24,July,Mobile,134,0
49,41,Associate_Bachelor_and_beyond,Supervision,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,-25,Unknown,0,-1,1,3,August,Unknown,486,1
50,52,JHS_HS_graduate,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,21,Rejected,3,12,2,3,February,Mobile,217,0
51,49,Associate_Bachelor_and_beyond,Sole_proprietor,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,241,Unknown,0,-1,5,5,May,Mobile,996,1
52,50,Associate_Bachelor_and_beyond,Supervision,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Default,1523,Unknown,0,-1,5,27,July,Landline,101,0
53,41,Associate_Bachelor_and_beyond,Sole_proprietor,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,27,Unknown,0,-1,1,16,May,Unknown,1381,0
54,33,ES_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,94,Rejected,1,256,1,22,July,Mobile,68,0
55,53,JHS_HS_graduate,Services,Divorced,Mortgage-Free_Unborrowed,Debtor,Non-Default,-213,Unknown,0,-1,1,20,November,Mobile,514,1
56,57,JHS_HS_graduate,Engineer,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,1770,Unknown,0,-1,7,15,August,Mobile,100,0
57,24,JHS_HS_graduate,Engineer,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,567,Unknown,0,-1,3,20,May,Unknown,345,0
58,27,JHS_HS_graduate,Services,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,36,Unknown,0,-1,4,6,July,Unknown,1086,0
59,40,JHS_HS_graduate,Services,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,327,Unknown,0,-1,3,3,June,Unknown,76,0
60,40,JHS_HS_graduate,House_keeper,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,1320,Unknown,0,-1,2,1,March,Landline,129,0
61,40,JHS_HS_graduate,Engineer,Married,Mortgaged,Debtor,Non-Default,828,Unknown,0,-1,1,1,May,Unknown,277,0
62,60,Associate_Bachelor_and_beyond,Supervision,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,2208,Rejected,5,171,2,16,November,Mobile,144,1
63,59,ES_graduate,House_keeper,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,2498,Unknown,0,-1,4,17,May,Landline,170,0
64,49,Unknown,Services,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,6029,Unknown,0,-1,1,29,May,Unknown,66,0
65,53,JHS_HS_graduate,Services,Married,Mortgaged,Debtor,Non-Default,1747,Unknown,0,-1,1,18,November,Mobile,444,0
66,51,ES_graduate,House_keeper,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,658,Unknown,0,-1,2,14,May,Mobile,56,0
67,32,JHS_HS_graduate,Services,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,-80,Unknown,0,-1,2,7,August,Mobile,150,0
68,54,Associate_Bachelor_and_beyond,Business_owner,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,-34,Unknown,0,-1,1,5,December,Unknown,416,0
69,53,JHS_HS_graduate,Services,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,208,Unknown,0,-1,1,14,May,Mobile,118,0
70,41,JHS_HS_graduate,Business_owner,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,4,Unknown,0,-1,1,5,June,Unknown,228,0
71,27,Associate_Bachelor_and_beyond,Supervision,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,-30,Unknown,0,-1,1,8,May,Unknown,103,0
72,52,ES_graduate,House_keeper,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,4803,Unknown,0,-1,1,27,August,Mobile,205,0
73,34,Associate_Bachelor_and_beyond,Supervision,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,555,Rejected,1,170,2,21,November,Mobile,0,0
74,46,ES_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,-14,Rejected,4,177,2,19,May,Mobile,255,0
75,44,JHS_HS_graduate,Administrator,Unmarried,Mortgaged,Debtor,Non-Default,691,Unknown,0,-1,1,16,November,Mobile,166,0
76,40,Associate_Bachelor_and_beyond,Engineer,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,124,Established,0,169,2,5,August,Mobile,193,0
77,31,ES_graduate,Manual_laborer,Married,Mortgaged,Debtor,Non-Default,175,Unknown,0,-1,1,13,May,Unknown,267,0
78,43,JHS_HS_graduate,Engineer,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,1174,Other,3,334,2,16,November,Mobile,49,0
79,32,Unknown,Supervision,Unmarried,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,1995,Unknown,0,-1,1,28,January,Mobile,172,0
80,35,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,593,Unknown,0,-1,2,19,August,Mobile,626,1
81,41,Associate_Bachelor_and_beyond,Sole_proprietor,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,10865,Unknown,0,-1,10,21,May,Mobile,201,0
82,53,JHS_HS_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,1053,Other,4,224,2,3,February,Mobile,56,0
83,53,ES_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,-33,Unknown,0,-1,2,28,May,Mobile,93,0
84,51,JHS_HS_graduate,Engineer,Divorced,Mortgage-Free_Unborrowed,Debtor,Non-Default,668,Unknown,0,-1,2,9,August,Mobile,415,0
85,32,Associate_Bachelor_and_beyond,Business_owner,Unmarried,Mortgage-Free_Unborrowed,Debtor,Non-Default,597,Unknown,0,32,1,4,February,Mobile,98,1
86,54,JHS_HS_graduate,Administrator,Married,Mortgaged,Debtor,Non-Default,-202,Unknown,0,-1,1,26,May,Unknown,310,0
87,24,JHS_HS_graduate,Engineer,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,944,Unknown,0,-1,1,18,June,Unknown,94,0
88,55,JHS_HS_graduate,Engineer,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,-147,Unknown,0,-1,1,29,May,Unknown,745,0
89,44,JHS_HS_graduate,Manual_laborer,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,8232,Unknown,0,-1,16,12,June,Unknown,26,0
90,34,ES_graduate,Supervision,Married,Mortgaged,Debtor,Non-Default,-72,Unknown,0,-1,2,31,July,Mobile,148,0
91,55,JHS_HS_graduate,Pensioner,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,8961,Unknown,0,-1,2,27,August,Mobile,73,0
92,43,Associate_Bachelor_and_beyond,Engineer,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,388,Established,1,173,2,5,August,Mobile,173,0
93,32,JHS_HS_graduate,Administrator,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,5239,Other,11,173,1,20,April,Mobile,178,1
94,26,JHS_HS_graduate,Student,Unmarried,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,995,Unknown,0,177,1,21,January,Mobile,306,0
95,48,JHS_HS_graduate,Administrator,Unmarried,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Default,243,Unknown,0,-1,1,20,October,Mobile,122,0
96,38,JHS_HS_graduate,Idle,Unmarried,Mortgaged,Debtor,Non-Default,-52,Unknown,0,-1,1,30,January,Mobile,64,0
97,35,Associate_Bachelor_and_beyond,Supervision,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,492,Rejected,0,166,2,20,May,Mobile,296,0
98,40,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,312,Unknown,11,25,1,10,May,Mobile,148,0
99,43,JHS_HS_graduate,Business_owner,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,738,Unknown,0,-1,2,19,June,Unknown,338,0
100,52,JHS_HS_graduate,Idle,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,1010,Rejected,1,232,2,4,February,Landline,143,0
101,57,JHS_HS_graduate,Unknown,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,-816,Unknown,0,-1,1,5,June,Unknown,109,0
102,29,JHS_HS_graduate,Services,Married,Mortgaged,Debtor,Non-Default,-22,Unknown,0,-1,2,18,May,Unknown,398,0
103,58,JHS_HS_graduate,Services,Divorced,Mortgaged,Debtor,Non-Default,990,Rejected,4,180,2,18,November,Mobile,115,0
104,27,Associate_Bachelor_and_beyond,Sole_proprietor,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,109,Unknown,0,-1,6,6,May,Mobile,218,0
105,31,JHS_HS_graduate,Administrator,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,605,Other,7,254,6,30,May,Mobile,386,0
106,54,JHS_HS_graduate,Manual_laborer,Married,Mortgaged,Debtor,Non-Default,-100,Unknown,0,-1,2,4,May,Mobile,400,0
107,25,JHS_HS_graduate,Manual_laborer,Unmarried,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,83,Unknown,0,-1,1,21,May,Unknown,55,0
108,28,Associate_Bachelor_and_beyond,Supervision,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,516,Unknown,0,-1,1,28,May,Unknown,89,0
109,36,JHS_HS_graduate,Engineer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,605,Rejected,4,165,2,21,November,Mobile,176,0
110,27,Associate_Bachelor_and_beyond,Engineer,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,356,Established,0,-1,2,17,August,Mobile,462,1
111,49,Associate_Bachelor_and_beyond,Supervision,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,191,Unknown,0,-1,4,7,August,Mobile,130,0
112,44,Associate_Bachelor_and_beyond,Engineer,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,417,Unknown,0,-1,1,5,August,Mobile,105,0
113,25,JHS_HS_graduate,Administrator,Unmarried,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,-166,Unknown,0,-1,1,22,June,Mobile,194,0
114,53,JHS_HS_graduate,Engineer,Married,Mortgaged,Debtor,Non-Default,383,Unknown,0,-1,7,25,August,Landline,584,0
115,33,Associate_Bachelor_and_beyond,Supervision,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,1258,Established,1,176,2,18,April,Mobile,715,1
116,40,JHS_HS_graduate,Engineer,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,602,Other,6,315,2,19,May,Mobile,88,0
117,47,Unknown,Unknown,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,299,Unknown,0,-1,3,6,June,Unknown,397,0
118,55,Unknown,Services,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,91,Unknown,0,-1,1,27,July,Mobile,42,0
119,42,JHS_HS_graduate,Administrator,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,807,Rejected,1,168,2,21,April,Mobile,23,0
120,54,JHS_HS_graduate,Services,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,398,Rejected,1,342,2,6,May,Mobile,119,0
121,28,Associate_Bachelor_and_beyond,Supervision,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,23750,Rejected,1,-1,2,21,November,Mobile,146,0
122,47,Unknown,Idle,Married,Mortgaged,Debt-Free_Unborrowed,Default,82,Unknown,0,-1,15,26,July,Mobile,144,0
123,44,Associate_Bachelor_and_beyond,Sole_proprietor,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,1635,Unknown,0,-1,3,5,November,Unknown,249,0
124,51,JHS_HS_graduate,Manual_laborer,Married,Mortgaged,Debtor,Non-Default,53,Rejected,1,265,2,16,May,Mobile,84,0
125,29,JHS_HS_graduate,Services,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,1082,Unknown,0,-1,8,5,June,Mobile,73,0
126,36,JHS_HS_graduate,Administrator,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,1101,Other,6,175,3,16,January,Mobile,95,0
127,29,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,189,Unknown,0,-1,6,21,July,Mobile,103,0
128,46,JHS_HS_graduate,Engineer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,1569,Unknown,0,-1,1,13,May,Unknown,188,0
129,54,ES_graduate,Manual_laborer,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,844,Rejected,1,181,2,15,January,Landline,12,0
130,50,ES_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,346,Unknown,0,-1,1,24,May,Unknown,159,0
131,29,JHS_HS_graduate,Student,Unmarried,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,39,Unknown,0,-1,5,25,July,Landline,105,0
132,39,JHS_HS_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,219,Rejected,1,166,2,6,November,Mobile,130,0
133,59,JHS_HS_graduate,Services,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,1035,Rejected,2,262,2,5,February,Landline,783,1
134,26,Associate_Bachelor_and_beyond,Supervision,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,265,Unknown,0,-1,2,15,May,Mobile,425,0
135,47,ES_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,9,Unknown,0,-1,1,28,May,Mobile,192,0
136,30,JHS_HS_graduate,Manual_laborer,Married,Mortgaged,Debtor,Non-Default,532,Unknown,0,-1,4,27,July,Mobile,416,0
137,27,Associate_Bachelor_and_beyond,Supervision,Divorced,Mortgage-Free_Unborrowed,Debtor,Non-Default,348,Unknown,0,-1,3,15,June,Mobile,694,0
138,57,Associate_Bachelor_and_beyond,Engineer,Married,Mortgaged,Debtor,Non-Default,198,Unknown,0,-1,7,27,May,Mobile,114,0
139,46,JHS_HS_graduate,Engineer,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,70,Unknown,0,-1,1,4,June,Unknown,46,0
140,44,JHS_HS_graduate,Engineer,Divorced,Mortgaged,Debtor,Non-Default,2093,Unknown,0,-1,1,24,May,Mobile,95,0
141,57,JHS_HS_graduate,Administrator,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,-7,Unknown,0,-1,2,19,August,Mobile,66,0
142,44,JHS_HS_graduate,Services,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,-70,Unknown,0,-1,2,19,November,Unknown,112,0
143,31,ES_graduate,Manual_laborer,Married,Mortgaged,Debtor,Non-Default,-599,Unknown,0,-1,27,13,July,Mobile,331,1
144,57,JHS_HS_graduate,Business_owner,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,182,Unknown,0,-1,3,28,July,Mobile,193,0
145,29,JHS_HS_graduate,Services,Married,Mortgaged,Debt-Free_Unborrowed,Default,-68,Unknown,0,-1,1,12,May,Mobile,506,1
146,57,JHS_HS_graduate,Pensioner,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,-323,Unknown,0,-1,2,13,May,Mobile,101,0
147,52,JHS_HS_graduate,Engineer,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,935,Unknown,0,-1,1,24,May,Unknown,125,0
148,40,JHS_HS_graduate,Administrator,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,-56,Unknown,0,-1,7,7,May,Unknown,77,0
149,36,Unknown,Sole_proprietor,Unmarried,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,444,Rejected,0,346,1,4,May,Unknown,181,0
150,46,JHS_HS_graduate,Services,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,-287,Unknown,0,-1,1,15,May,Unknown,158,0
151,29,Associate_Bachelor_and_beyond,Supervision,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,-82,Established,12,178,1,11,August,Mobile,891,0
152,43,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,1057,Unknown,0,-1,15,28,June,Unknown,333,0
153,45,ES_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,216,Rejected,3,163,2,12,September,Mobile,352,0
154,33,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,309,Unknown,0,-1,1,14,May,Unknown,81,0
155,59,Associate_Bachelor_and_beyond,Business_owner,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,998,Unknown,0,-1,2,21,August,Mobile,468,0
156,43,Associate_Bachelor_and_beyond,Engineer,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,6219,Established,11,94,1,5,August,Landline,245,1
157,34,JHS_HS_graduate,Administrator,Married,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,37,Unknown,0,-1,2,4,August,Mobile,58,0
158,31,JHS_HS_graduate,Services,Married,Mortgage-Free_Unborrowed,Debtor,Default,-49,Unknown,0,-1,6,26,August,Mobile,172,0
159,57,Unknown,Manual_laborer,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,1714,Unknown,0,-1,5,24,May,Unknown,72,0
160,61,ES_graduate,Manual_laborer,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,162,Rejected,1,169,2,20,November,Mobile,86,0
161,55,JHS_HS_graduate,Idle,Divorced,Mortgage-Free_Unborrowed,Debt-Free_Unborrowed,Non-Default,298,Established,1,262,2,21,December,Mobile,292,1
162,53,Associate_Bachelor_and_beyond,Supervision,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,6083,Unknown,0,-1,1,6,May,Unknown,227,0
163,54,Associate_Bachelor_and_beyond,Supervision,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,6378,Rejected,0,-1,1,15,May,Mobile,478,0
164,42,Associate_Bachelor_and_beyond,Engineer,Married,Mortgaged,Debtor,Default,-434,Unknown,0,-1,7,14,August,Mobile,119,0
165,57,Associate_Bachelor_and_beyond,Manual_laborer,Divorced,Mortgaged,Debt-Free_Unborrowed,Non-Default,22,Rejected,3,168,4,6,November,Mobile,169,1
166,52,Associate_Bachelor_and_beyond,Idle,Married,Mortgage-Free_Unborrowed,Debtor,Non-Default,897,Unknown,0,-1,6,30,January,Landline,67,0
167,39,Associate_Bachelor_and_beyond,Sole_proprietor,Married,Mortgaged,Debt-Free_Unborrowed,Non-Default,223,Other,1,269,2,16,May,Mobile,264,1
168,39,Associate_Bachelor_and_beyond,Engineer,Married,Mortgaged,Debtor,Non-Default,12,Unknown,0,-1,1,24,July,Mobile,652,1
169,41,ES_graduate,Supervision,Unmarried,Mortgaged,Debt-Free_Unborrowed,Non-Default,146,Rejected,3,342,2,11,May,Mobile,239,0
